X,Y,OBJECTID,StopID,StopCode,StopName,Latitude,Longitude,StopURL
-78.4773330678213,38.0289878847839,3984,17333,17333,Downtown Transit Station,38.02898788,-78.47733307,http://catpublic.etaspot.net/
-78.480140685248,38.0295600889927,3985,11015,11015,E Water St at 3rd St SE,38.02956009,-78.48014069,http://catpublic.etaspot.net/
-78.4844589233537,38.030841826431,3986,11036,11036,Water St at The Omni,38.03084183,-78.48445892,http://catpublic.etaspot.net/
-78.4872283944344,38.0308685309321,3987,11058,11058,W Main St at 5th St SW,38.03086853,-78.48722839,http://catpublic.etaspot.net/
-78.4905319219211,38.0317039487146,3988,11091,11091,W Main St at 8th St NW,38.03170395,-78.49053192,http://catpublic.etaspot.net/
-78.4925003038326,38.032169341936,3989,11186,11186,W Main St at The Standard,38.03216934,-78.49250031,http://catpublic.etaspot.net/
-78.4957427976906,38.0328903204855,3990,11129,11129,W Main St at 11th St NW,38.03289032,-78.4957428,http://catpublic.etaspot.net/
-78.500457763688,38.0325851444481,3991,11193,11193,JPA at UVA Hospital,38.03258514,-78.50045776,http://catpublic.etaspot.net/
-78.5040893557872,38.0321617117233,3992,11155,11155,JPA at Cabell Hall,38.03216171,-78.50408936,http://catpublic.etaspot.net/
-78.508369445533,38.0310478212481,3993,11846,11846,JPA at Woodrow St,38.03104782,-78.50836945,http://catpublic.etaspot.net/
-78.5098190305963,38.0288200375019,3994,11164,11164,JPA at Montebello Cir,38.02882004,-78.50981903,http://catpublic.etaspot.net/
-78.5115966799241,38.0276336670073,3995,11172,11172,JPA at Shamrock Rd,38.02763367,-78.51159668,http://catpublic.etaspot.net/
-78.514564514129,38.0261230474935,3996,11210,11210,JPA at Maury Ave,38.02612305,-78.51456451,http://catpublic.etaspot.net/
-78.515884400354,38.0270500182052,3997,11223,11223,Maury Ave at Clark Ct,38.02705002,-78.5158844,http://catpublic.etaspot.net/
-78.5163955689852,38.0290527339691,3998,10687,10687,Alderman Rd at Stadium Rd,38.02905273,-78.51639557,http://catpublic.etaspot.net/
-78.5128936780284,38.0321502679269,3999,21001,21001,Whitehead Rd at Geldard Dr,38.03215027,-78.51289368,http://catpublic.etaspot.net/
-78.5078582755283,38.0362815859672,4000,10472,10472,Emmet St at The Central Grounds Garage,38.03628159,-78.50785828,http://catpublic.etaspot.net/
-78.5070571893251,38.0383148188643,4001,10660,10660,Emmet St at The Snyder Tennis Courts,38.03831482,-78.50705719,http://catpublic.etaspot.net/
-78.5050506582992,38.037384032266,4002,21007,21007,University Ave at Newcomb Ln,38.03738403,-78.50505066,http://catpublic.etaspot.net/
-78.5028381356739,38.0365066533836,4003,11281,11281,University Ave at The Rotunda,38.03650665,-78.50283813,http://catpublic.etaspot.net/
-78.4998397834546,38.0340690615405,4004,11247,11247,University Ave at The Women's Center,38.03406906,-78.49983978,http://catpublic.etaspot.net/
-78.4956817617807,38.0327339170654,4005,11138,11138,W Main St at 11th St SW,38.03273392,-78.49568176,http://catpublic.etaspot.net/
-78.4923858632032,38.032016753294,4006,11101,11101,W Main St at The Flats,38.03201675,-78.49238586,http://catpublic.etaspot.net/
-78.4868087753097,38.0306282034613,4007,11062,11062,W Main St at 4th St NW,38.0306282,-78.48680878,http://catpublic.etaspot.net/
-78.4842681882471,38.0301399228045,4008,20199,20199,Midway Manor,38.03013992,-78.48426819,http://catpublic.etaspot.net/
-78.4822616586292,38.0309066778183,4009,17305,17305,2nd St at The Downtown Mall,38.03090668,-78.48226166,http://catpublic.etaspot.net/
-78.4805450431852,38.0312995916584,4010,11299,11299,E Market St at 2nd St NE,38.03129959,-78.48054504,http://catpublic.etaspot.net/
-78.4779586798502,38.0304908746251,4011,11309,11309,E Market St at 5th St NE,38.03049088,-78.47795868,http://catpublic.etaspot.net/
-78.4740371697107,38.0290222165886,4012,11321,11321,E Market St at 10th St NE,38.02902222,-78.47403717,http://catpublic.etaspot.net/
-78.4853286748293,38.0283584600495,4013,19232,19232,Monticello Ave at Ridge St Eastbound,38.02835846,-78.48532867,http://catpublic.etaspot.net/
-78.4821166996718,38.0266075136113,4014,14237,14237,Monticello Ave at 2nd St SE,38.02660751,-78.4821167,http://catpublic.etaspot.net/
-78.4809265139808,38.0252265934677,4015,14228,14228,Monticello Ave at 6th St SE,38.02522659,-78.48092651,http://catpublic.etaspot.net/
-78.4774703974894,38.0235214228684,4016,19820,19820,Monticello Ave at Rialto St,38.02352142,-78.4774704,http://catpublic.etaspot.net/
-78.4744338991961,38.0216598506333,4017,12505,12505,Monticello Ave at Castalia St,38.02165985,-78.4744339,http://catpublic.etaspot.net/
-78.4740676879127,38.0200233456096,4018,19189,19189,Monticello Ave at Blenheim Ave,38.02002335,-78.47406769,http://catpublic.etaspot.net/
-78.475044251771,38.0185737609902,4019,12676,12676,Monticello Ave at Elliott Ave,38.01857376,-78.47504425,http://catpublic.etaspot.net/
-78.4808502191518,38.0058135994613,4020,19849,19849,PVCC at The Stultz Ctr,38.0058136,-78.48085022,http://catpublic.etaspot.net/
-78.4881362910675,38.0051765447125,4021,12800,12800,PVCC at The Dickinson Bldg,38.00517654,-78.48813629,http://catpublic.etaspot.net/
-78.4837646479159,38.0074653628556,4022,14926,14926,PVCC at The Main Bldg,38.00746536,-78.48376465,http://catpublic.etaspot.net/
-78.4731674195986,38.0153656010227,4023,19883,19883,Monticello Rd at Druid Ave,38.0153656,-78.47316742,http://catpublic.etaspot.net/
-78.4730529782152,38.0179557810697,4024,19877,19877,Monticello Rd at Elliott Ave,38.01795578,-78.47305298,http://catpublic.etaspot.net/
-78.4728546145498,38.0197601322591,4025,19854,19854,Monticello Rd at Carlton Rd,38.01976013,-78.47285461,http://catpublic.etaspot.net/
-78.4743347178895,38.0218276980931,4026,12431,12431,Monticello Ave at Tufton Ave,38.0218277,-78.47433472,http://catpublic.etaspot.net/
-78.4776153566002,38.0236854556461,4027,19831,19831,Monticello Ave at Rialto St,38.02368546,-78.47761536,http://catpublic.etaspot.net/
-78.4807357797393,38.025394439466,4028,19191,19191,Monticello Ave at 6th St SE,38.02539444,-78.48073578,http://catpublic.etaspot.net/
-78.4824752798676,38.0272941587376,4029,19209,19209,Monticello Ave at 2nd St SE,38.02729416,-78.48247528,http://catpublic.etaspot.net/
-78.485343933748,38.0286064143513,4030,19213,19213,Monticello Ave at Ridge St Westbound,38.02860641,-78.48534393,http://catpublic.etaspot.net/
-78.4848709108611,38.0316314707634,4031,11043,11043,Ridge McIntire Rd at The Omni,38.03163147,-78.48487091,http://catpublic.etaspot.net/
-78.4833679191322,38.0327033991876,4032,11494,11494,W Market St at Old Preston Ave,38.0327034,-78.48336792,http://catpublic.etaspot.net/
-78.4727249132941,38.0314865112846,4033,16512,16512,E High St at 9 1/2 St NE,38.03148651,-78.47272491,http://catpublic.etaspot.net/
-78.4710388181593,38.0306892396223,4034,19115,19115,Little High St at 11th St Eastbound,38.03068924,-78.47103882,http://catpublic.etaspot.net/
-78.4679412839924,38.029609679768,4035,19104,19104,Little High St at 12th St Eastbound,38.02960968,-78.46794128,http://catpublic.etaspot.net/
-78.4660034179601,38.0271377560877,4036,19087,19087,Chesapeake St at Meade Park,38.02713776,-78.46600342,http://catpublic.etaspot.net/
-78.4624633792027,38.0243148806761,4037,12580,12580,E Market St at 18th St NE,38.02431488,-78.46246338,http://catpublic.etaspot.net/
-78.4582443236606,38.0239486693415,4038,19060,19060,Chesapeake St at Riverview St,38.02394867,-78.45824432,http://catpublic.etaspot.net/
-78.4549636829678,38.024677277053,4039,19039,19039,Riverside Ave Northbound,38.02467728,-78.45496368,http://catpublic.etaspot.net/
-78.4562606801613,38.0269699094648,4040,19041,19041,Riverside Ave at Riverbluff Cir,38.02696991,-78.45626068,http://catpublic.etaspot.net/
-78.4551239011687,38.0246963503365,4041,19056,19056,Riverside Ave,38.02469635,-78.4551239,http://catpublic.etaspot.net/
-78.4587173462838,38.0242233277455,4042,12412,12412,Chesapeake St at Riverview St,38.02422333,-78.45871735,http://catpublic.etaspot.net/
-78.4612197875116,38.025234221836,4043,17712,17712,Chesapeake St at 18th St NE,38.02523422,-78.46121979,http://catpublic.etaspot.net/
-78.4624099739121,38.0267295827618,4044,12624,12624,Fairway Ave at Short 18th St,38.02672958,-78.46240997,http://catpublic.etaspot.net/
-78.4635086053904,38.0290870666027,4045,12648,12648,Fairway Ave at Arbor Cir,38.02908707,-78.46350861,http://catpublic.etaspot.net/
-78.4647903451399,38.0301742551469,4046,12465,12465,Fairway Ave at Meade Ave,38.03017426,-78.46479034,http://catpublic.etaspot.net/
-78.4656906127771,38.0291366577643,4047,12483,12483,Meade Ave at Caroline Ave,38.02913666,-78.46569061,http://catpublic.etaspot.net/
-78.4679183964434,38.0297126778501,4048,19094,19094,Little High St at 12th St Westbound,38.02971268,-78.4679184,http://catpublic.etaspot.net/
-78.4709625233678,38.0307960505555,4049,19127,19127,Little High St at 11th St Westbound,38.03079605,-78.47096252,http://catpublic.etaspot.net/
-78.4723434440466,38.0316390986343,4050,16475,16475,E High St at Locust Ave,38.0316391,-78.47234344,http://catpublic.etaspot.net/
-78.4864501954806,38.0280685413358,4051,12994,12994,Ridge St at Dice St Southbound,38.02806854,-78.4864502,http://catpublic.etaspot.net/
-78.4885787959444,38.026199340878,4052,12987,12987,Ridge St at Cherry Ave,38.02619934,-78.4885788,http://catpublic.etaspot.net/
-78.4973678590529,38.0173187260752,4053,20123,20123,5th St at Cleveland Ave,38.01731873,-78.49736786,http://catpublic.etaspot.net/
-78.5023422240052,38.0135688784767,4054,19324,19324,Willoughby Square Shopping,38.01356888,-78.50234222,http://catpublic.etaspot.net/
-78.5020141601556,38.0117988579961,4055,20110,20110,Bent Creek Rd at The Exxon Station,38.01179886,-78.50201416,http://catpublic.etaspot.net/
-78.4983901974626,38.0101127618408,4056,20054,20054,5th St Station,38.01011276,-78.4983902,http://catpublic.etaspot.net/
-78.492485045622,38.008792876138,4057,20065,20065,5th St Station Pkwy at Avon St Ext,38.00879288,-78.49248505,http://catpublic.etaspot.net/
-78.4867858884357,38.013820648222,4058,20077,20077,Avon St Ext Park and Ride,38.01382065,-78.48678589,http://catpublic.etaspot.net/
-78.4849395743011,38.0163955688716,4059,20083,20083,Avon St at Belmont Cottages,38.01639557,-78.48493958,http://catpublic.etaspot.net/
-78.4823913570282,38.0198020932335,4060,15927,15927,Avon St at Druid Ave,38.01980209,-78.48239136,http://catpublic.etaspot.net/
-78.4808731073,38.0218772889851,4061,12052,12052,Avon St at Montrose Ave,38.02187729,-78.48087311,http://catpublic.etaspot.net/
-78.4801025394864,38.0229568485652,4062,12047,12047,Avon St at Blenheim Ave,38.02295685,-78.48010254,http://catpublic.etaspot.net/
-78.4778366088974,38.0261611947325,4063,12075,12075,Avon St at Hinton Ave,38.02616119,-78.47783661,http://catpublic.etaspot.net/
-78.4945983874961,38.020843506955,4064,12956,12956,5th St at Bailey Rd Southbound,38.02084351,-78.49459839,http://catpublic.etaspot.net/
-78.5049057013047,38.0108451841711,4065,15255,15255,5th St at Moores Creek Southbound,38.01084518,-78.5049057,http://catpublic.etaspot.net/
-78.5172729488089,38.0064163211479,4066,19934,19934,5th St at Wahoo Way,38.00641632,-78.51727295,http://catpublic.etaspot.net/
-78.5198822025159,38.0054740899421,4067,18219,18219,5th St at Old Lynchburg Rd,38.00547409,-78.5198822,http://catpublic.etaspot.net/
-78.524040221691,37.9990921016712,4068,12939,12939,Southwood,37.9990921,-78.52404022,http://catpublic.etaspot.net/
-78.5190200816416,38.0055274966359,4069,15841,15841,5th St at County Office,38.0055275,-78.51902008,http://catpublic.etaspot.net/
-78.5063400269233,38.0097885131998,4070,15246,15246,5th St at Moores Creek Northbound,38.00978851,-78.50634003,http://catpublic.etaspot.net/
-78.502113342792,38.0124549864507,4071,15785,15785,5th St at Bent Creek Rd,38.01245499,-78.50211334,http://catpublic.etaspot.net/
-78.4940872184582,38.0210418709908,4072,15792,15792,5th St at Bailey Rd Northbound,38.02104187,-78.49408722,http://catpublic.etaspot.net/
-78.4884567269771,38.0260314939985,4073,15802,15802,Ridge St at Elliott Ave,38.02603149,-78.48845673,http://catpublic.etaspot.net/
-78.4863204958889,38.0280761708039,4074,15818,15818,Ridge St at Dice St Northbound,38.02807617,-78.4863205,http://catpublic.etaspot.net/
-78.4779205323068,38.0264053340305,4075,11500,11500,Avon St at Garrett St,38.02640533,-78.47792053,http://catpublic.etaspot.net/
-78.4748153682718,38.0242652894555,4076,15759,15759,Hinton Ave at Meridian St,38.02426529,-78.47481537,http://catpublic.etaspot.net/
-78.4730911257856,38.0230255118273,4077,15261,15261,Bainbridge St at Monticello Rd,38.02302551,-78.47309113,http://catpublic.etaspot.net/
-78.4702148448316,38.0227508536294,4078,15737,15737,Carlton Ave at Carlton Rd,38.02275085,-78.47021484,http://catpublic.etaspot.net/
-78.4676666255279,38.0212974557649,4079,19136,19136,Rives St at Carlton Ave,38.02129745,-78.46766663,http://catpublic.etaspot.net/
-78.4691390984984,38.0192985531468,4080,19143,19143,Rives St at Hampton St,38.01929855,-78.4691391,http://catpublic.etaspot.net/
-78.4714660653587,38.0174369814773,4081,19158,19158,Rives St at Rives Park,38.01743698,-78.47146606,http://catpublic.etaspot.net/
-78.4732208256113,38.0151863103068,4082,19162,19162,Monticello Rd at Linden Ave Southbound,38.01518631,-78.47322083,http://catpublic.etaspot.net/
-78.477119445617,38.0183410652715,4083,15860,15860,Altavista Ave,38.01834106,-78.47711945,http://catpublic.etaspot.net/
-78.4802780149922,38.0197868345066,4084,15873,15873,Altavista Ave at Rialto St,38.01978683,-78.48027802,http://catpublic.etaspot.net/
-78.4816360482962,38.0183448800362,4085,15887,15887,Belmont Park,38.01834488,-78.48163605,http://catpublic.etaspot.net/
-78.4910125736604,38.0273818974196,4086,15894,15894,Cherry Ave at 6th St Westbound,38.0273819,-78.49101257,http://catpublic.etaspot.net/
-78.4938735959917,38.0287094106757,4087,15904,15904,Cherry Ave at IRC,38.02870941,-78.4938736,http://catpublic.etaspot.net/
-78.4955902102412,38.0300369269169,4088,19444,19444,Roosevelt Brown Blvd at Grove St,38.03003693,-78.49559021,http://catpublic.etaspot.net/
-78.4956207271083,38.0297241216376,4089,19437,19437,Roosevelt Brown Blvd at King St,38.02972412,-78.49562073,http://catpublic.etaspot.net/
-78.4971542368493,38.0285415656246,4090,19428,19428,Cherry Ave at 10th St Westbound,38.02854156,-78.49715424,http://catpublic.etaspot.net/
-78.5009002680288,38.0261993414475,4091,17636,17636,Cherry Ave at Hanover St Southbound,38.02619934,-78.50090027,http://catpublic.etaspot.net/
-78.5034103403384,38.0243148804405,4092,19416,19416,Cherry Ave at Valley Rd,38.02431488,-78.50341034,http://catpublic.etaspot.net/
-78.5068206783748,38.0237159727409,4093,15272,15272,Cherry Ave at Shamrock Rd Westbound,38.02371597,-78.50682068,http://catpublic.etaspot.net/
-78.5097808851996,38.0215492245865,4094,15264,15264,Cherry Ave at Highland Ave,38.02154922,-78.50978088,http://catpublic.etaspot.net/
-78.5119018560813,38.02011871413,4095,19395,19395,Cleveland Ave at Woodland Dr Westbound,38.02011871,-78.51190186,http://catpublic.etaspot.net/
-78.5145263663017,38.0207099910113,4096,11439,11439,Cleveland Ave at JPA,38.02070999,-78.51452637,http://catpublic.etaspot.net/
-78.5135498044633,38.0187225340288,4097,11350,11350,JPA at Old Lynchburg Rd Southbound,38.01872253,-78.5135498,http://catpublic.etaspot.net/
-78.5127029419619,38.017589569564,4098,11366,11366,JPA at Monte Vista Ave,38.01758957,-78.51270294,http://catpublic.etaspot.net/
-78.5078659065918,38.0158004766831,4099,11397,11397,Harris Rd at Willard Dr Eastbound,38.01580048,-78.50786591,http://catpublic.etaspot.net/
-78.5046691903963,38.0154800409355,4100,19330,19330,Harris Rd at Longwood Dr,38.01548004,-78.50466919,http://catpublic.etaspot.net/
-78.5041809082554,38.0153388976596,4101,19348,19348,Harris Rd at Lodge Creek Cir,38.0153389,-78.50418091,http://catpublic.etaspot.net/
-78.5081176760944,38.0158309937587,4102,19353,19353,Harris Rd at Willard Dr Westbound,38.01583099,-78.50811768,http://catpublic.etaspot.net/
-78.511329649885,38.015972137487,4103,19369,19369,JPA at Porter Ave,38.01597214,-78.51132965,http://catpublic.etaspot.net/
-78.5114135746054,38.0159187311294,4104,11378,11378,JPA at Azalea Dr,38.01591873,-78.51141357,http://catpublic.etaspot.net/
-78.513633728637,38.0189323428305,4105,19376,19376,JPA at Old Lynchburg Rd Northbound,38.01893234,-78.51363373,http://catpublic.etaspot.net/
-78.5137634265987,38.0204505929576,4106,19382,19382,Cleveland Ave at Hammond St,38.02045059,-78.51376343,http://catpublic.etaspot.net/
-78.511871337255,38.0200157161809,4107,19400,19400,Cleveland Ave at Woodland Dr Eastbound,38.02001572,-78.51187134,http://catpublic.etaspot.net/
-78.5090713505369,38.0219078068211,4108,17689,17689,Cherry Ave at Rainier Rd,38.02190781,-78.50907135,http://catpublic.etaspot.net/
-78.5067977919849,38.0235481261437,4109,18051,18051,Cherry Ave at Shamrock Rd Eastbound,38.02354813,-78.50679779,http://catpublic.etaspot.net/
-78.5027389524376,38.0243415837814,4110,14523,14523,Cherry Ave at Rockcreek Rd,38.02434158,-78.50273895,http://catpublic.etaspot.net/
-78.5010147089393,38.0258331292104,4111,14534,14534,Cherry Ave at Hanover St Northbound,38.02583313,-78.50101471,http://catpublic.etaspot.net/
-78.4968338009806,38.028457641867,4112,14547,14547,Cherry Ave at 10th St Eastbound,38.02845764,-78.4968338,http://catpublic.etaspot.net/
-78.5008621207852,38.0322914120403,4113,17028,17028,JPA at Pinn Hall,38.03229141,-78.50086212,http://catpublic.etaspot.net/
-78.4941558844346,38.028678892834,4114,11585,11585,Cherry Ave at Cherry Ave Shopping,38.02867889,-78.49415588,http://catpublic.etaspot.net/
-78.4912948612517,38.0274429328065,4115,12113,12113,Cherry Ave at 6th St Eastbound,38.02744293,-78.49129486,http://catpublic.etaspot.net/
-78.5046234122878,38.048763275137,4116,13265,13265,BRSC at Arlington Southbound,38.04876328,-78.50462341,http://catpublic.etaspot.net/
-78.5042114251147,38.05099487312,4117,12178,12178,Millmont St at USPS,38.05099487,-78.50421143,http://catpublic.etaspot.net/
-78.501686095972,38.0533638000708,4118,12184,12184,Millmont St at Kroger,38.0533638,-78.5016861,http://catpublic.etaspot.net/
-78.5013198851783,38.0552864071765,4119,13161,13161,Barracks Rd at Cedars Ct Northbound,38.05528641,-78.50131989,http://catpublic.etaspot.net/
-78.5056762705731,38.0585632321368,4120,13220,13220,Barracks Rd at Bennington Rd,38.05856323,-78.50567627,http://catpublic.etaspot.net/
-78.506431579616,38.0629844668075,4121,13142,13142,Georgetown Rd at Hessian Hills Way,38.06298447,-78.50643158,http://catpublic.etaspot.net/
-78.5042572017328,38.0650634760434,4122,13190,13190,Georgetown Rd at Inglewood Dr Northbound,38.06506348,-78.5042572,http://catpublic.etaspot.net/
-78.5023574835589,38.0681991573698,4123,13188,13188,Georgetown Rd at Court Pl,38.06819916,-78.50235748,http://catpublic.etaspot.net/
-78.4993515010593,38.0709533690431,4124,13119,13119,Georgetown Rd at Hydraulic Rd Northbound,38.07095337,-78.4993515,http://catpublic.etaspot.net/
-78.4974822983871,38.0685272217912,4125,19733,19733,Hydraulic Rd at Turtle Creek Rd Southbound,38.06852722,-78.4974823,http://catpublic.etaspot.net/
-78.4952774043132,38.0676422115106,4126,13174,13174,Commonwealth Dr at Hydraulic Rd Northbound,38.06764221,-78.4952774,http://catpublic.etaspot.net/
-78.493606567992,38.0691413880316,4127,13126,13126,Commonwealth Dr at Northwest Dr Northbound,38.06914139,-78.49360657,http://catpublic.etaspot.net/
-78.490707396643,38.0714302062308,4128,13072,13072,Commonwealth Dr at Peyton Dr,38.07143021,-78.4907074,http://catpublic.etaspot.net/
-78.4896087640689,38.0724792477491,4129,13064,13064,Commonwealth Dr at Commonwealth Ct Northbound,38.07247925,-78.48960876,http://catpublic.etaspot.net/
-78.4858779920739,38.0737457276507,4130,13055,13055,Commonwealth Dr at Westfield Rd Eastbound,38.07374573,-78.48587799,http://catpublic.etaspot.net/
-78.4834976182341,38.0776863092545,4131,13086,13086,Four Seasons Dr at Woodlake Dr Northbound,38.07768631,-78.48349762,http://catpublic.etaspot.net/
-78.4865722658099,38.0796661382687,4132,13017,13017,Four Seasons Dr at ACAC,38.07966614,-78.48657227,http://catpublic.etaspot.net/
-78.4874267588691,38.082538604979,4133,13093,13093,Four Seasons Dr at Tennis Dr Northbound,38.0825386,-78.48742676,http://catpublic.etaspot.net/
-78.4826660149072,38.0866928106008,4134,13040,13040,Rio Rd at Charlottesville Rehab Eastbound,38.08669281,-78.48266602,http://catpublic.etaspot.net/
-78.4779968262982,38.0853767397525,4135,13310,13310,Rio Rd at Berkmar Cir,38.08537674,-78.47799683,http://catpublic.etaspot.net/
-78.4752578732985,38.0832481381811,4136,13306,13306,Rio Rd at Northside Library,38.08324814,-78.47525787,http://catpublic.etaspot.net/
-78.4698028560303,38.0771141041011,4137,20181,20181,Rio Rd at Glen Wood Station,38.07711411,-78.46980286,http://catpublic.etaspot.net/
-78.470596314707,38.0739784236534,4138,17125,17125,Hillsdale Rd at Exeter Ct,38.07397842,-78.47059631,http://catpublic.etaspot.net/
-78.4731750486867,38.07489776566,4139,17118,17118,Mall Dr at Royal Ct,38.07489777,-78.47317505,http://catpublic.etaspot.net/
-78.4738540658409,38.076751708554,4140,16596,16596,Fashion Square Mall,38.07675171,-78.47385406,http://catpublic.etaspot.net/
-78.4733505258125,38.074794768245,4141,16583,16583,Mall Dr at Hillsdale Dr,38.07479477,-78.47335052,http://catpublic.etaspot.net/
-78.4702987664749,38.0739173879828,4142,16021,16021,Hillsdale Dr at Walden Ct,38.07391739,-78.47029877,http://catpublic.etaspot.net/
-78.4704208365028,38.0777168270351,4143,16009,16009,Rio Rd at Putt Putt,38.07771683,-78.47042084,http://catpublic.etaspot.net/
-78.4750061043186,38.0833358771657,4144,19812,19812,Rio Rd at Northside Library Northbound,38.08333588,-78.4750061,http://catpublic.etaspot.net/
-78.4770355231865,38.0848999023576,4145,17909,17909,Rio Rd at Berkmar Dr,38.0848999,-78.47703552,http://catpublic.etaspot.net/
